Case_type,Region,Representation,Quarter,Number_of_disposals,Mean_duration,Median_duration
Children Act (Public),South East,4 Neither,2022-Q1,4,12.800000,11.700000000
Children Act (Public),South East,All types,2022-Q1,525,40.600000,38.100000000
Children Act (Public),South West,1 Both,2022-Q1,314,34.900000,31.500000000
Children Act (Public),South West,2 Applicant Only,2022-Q1,50,12.500000,8.200000000
Children Act (Public),South West,3 Respondent Only,2022-Q1,1,56.000000,56.000000000
Children Act (Public),South West,4 Neither,2022-Q1,6,26.600000,19.200000000
Children Act (Public),South West,All types,2022-Q1,371,31.800000,28.400000000
Children Act (Public),Wales,1 Both,2022-Q1,127,30.500000,26.600000000
Children Act (Public),Wales,2 Applicant Only,2022-Q1,55,13.500000,9.600000000
Children Act (Public),Wales,3 Respondent Only,2022-Q1,5,29.100000,29.600000000
Children Act (Public),Wales,4 Neither,2022-Q1,2,7.600000,7.600000000
Children Act (Public),Wales,All types,2022-Q1,189,25.200000,24.400000000
Children Act (Public),England & Wales,1 Both,2022-Q2,3024,43.500000,38.100000000
Children Act (Public),England & Wales,2 Applicant Only,2022-Q2,750,23.100000,16.100000000
Children Act (Public),England & Wales,3 Respondent Only,2022-Q2,29,52.100000,58.100000000
Children Act (Public),England & Wales,4 Neither,2022-Q2,26,18.400000,12.000000000
Children Act (Public),England & Wales,All types,2022-Q2,3829,39.400000,34.700000000
Children Act (Public),London,1 Both,2022-Q2,318,53.700000,49.500000000
Children Act (Public),London,2 Applicant Only,2022-Q2,77,24.200000,18.600000000
Children Act (Public),London,3 Respondent Only,2022-Q2,14,67.700000,68.400000000
Children Act (Public),London,4 Neither,2022-Q2,3,7.300000,3.000000000
Children Act (Public),London,All types,2022-Q2,412,48.300000,46.000000000
Children Act (Public),Midlands,1 Both,2022-Q2,592,49.900000,43.200000000
Children Act (Public),Midlands,2 Applicant Only,2022-Q2,135,21.400000,14.900000000
Children Act (Public),Midlands,3 Respondent Only,2022-Q2,2,50.500000,50.500000000
Children Act (Public),Midlands,4 Neither,2022-Q2,5,40.800000,43.400000000
Children Act (Public),Midlands,All types,2022-Q2,734,44.600000,38.000000000
Children Act (Public),North East,1 Both,2022-Q2,589,39.900000,33.300000000
Children Act (Public),North East,2 Applicant Only,2022-Q2,161,22.000000,15.900000000
Children Act (Public),North East,3 Respondent Only,2022-Q2,8,34.400000,28.200000000
Children Act (Public),North East,4 Neither,2022-Q2,12,12.100000,10.700000000
Children Act (Public),North East,All types,2022-Q2,770,35.700000,30.300000000
Children Act (Public),North West,1 Both,2022-Q2,427,44.700000,40.700000000
Children Act (Public),North West,2 Applicant Only,2022-Q2,129,21.200000,14.100000000
Children Act (Public),North West,3 Respondent Only,2022-Q2,1,56.300000,56.300000000
Children Act (Public),North West,All types,2022-Q2,557,39.300000,35.300000000
Children Act (Public),Not Specified,1 Both,2022-Q2,133,44.100000,45.900000000
Children Act (Public),Not Specified,2 Applicant Only,2022-Q2,45,51.700000,51.000000000
Children Act (Public),Not Specified,All types,2022-Q2,178,46.000000,47.000000000
Children Act (Public),South East,1 Both,2022-Q2,434,44.200000,40.100000000
Children Act (Public),South East,2 Applicant Only,2022-Q2,87,24.100000,18.000000000
Children Act (Public),South East,3 Respondent Only,2022-Q2,2,29.300000,29.300000000
Children Act (Public),South East,4 Neither,2022-Q2,3,18.600000,27.900000000
Children Act (Public),South East,All types,2022-Q2,526,40.700000,37.100000000
Children Act (Public),South West,1 Both,2022-Q2,373,33.500000,29.600000000
Children Act (Public),South West,2 Applicant Only,2022-Q2,63,15.300000,9.600000000
Children Act (Public),South West,4 Neither,2022-Q2,1,13.400000,13.400000000
Children Act (Public),South West,All types,2022-Q2,437,30.900000,27.300000000
Children Act (Public),Wales,1 Both,2022-Q2,158,30.200000,25.700000000
Children Act (Public),Wales,2 Applicant Only,2022-Q2,53,17.800000,11.900000000
Children Act (Public),Wales,3 Respondent Only,2022-Q2,2,36.400000,36.400000000
Children Act (Public),Wales,4 Neither,2022-Q2,2,19.200000,19.200000000
Children Act (Public),Wales,All types,2022-Q2,215,27.100000,24.900000000
Children Act (Public),England & Wales,1 Both,2022-Q3,3058,41.300000,35.700000000
Children Act (Public),England & Wales,2 Applicant Only,2022-Q3,674,20.500000,12.900000000
Children Act (Public),England & Wales,3 Respondent Only,2022-Q3,15,75.500000,76.600000000
Children Act (Public),England & Wales,4 Neither,2022-Q3,28,24.200000,21.500000000
Children Act (Public),England & Wales,All types,2022-Q3,3775,37.600000,32.600000000
Children Act (Public),London,1 Both,2022-Q3,273,50.600000,47.900000000
Children Act (Public),London,2 Applicant Only,2022-Q3,81,29.800000,24.100000000
Children Act (Public),London,3 Respondent Only,2022-Q3,9,80.200000,79.100000000
Children Act (Public),London,4 Neither,2022-Q3,2,31.700000,31.700000000
Children Act (Public),London,All types,2022-Q3,365,46.600000,44.700000000
Children Act (Public),Midlands,1 Both,2022-Q3,559,44.500000,36.300000000
Children Act (Public),Midlands,2 Applicant Only,2022-Q3,133,20.000000,14.100000000
Children Act (Public),Midlands,3 Respondent Only,2022-Q3,1,53.600000,53.600000000
Children Act (Public),Midlands,4 Neither,2022-Q3,4,27.800000,24.800000000
Children Act (Public),Midlands,All types,2022-Q3,697,39.800000,33.000000000
Children Act (Public),North East,1 Both,2022-Q3,631,36.100000,31.100000000
Children Act (Public),North East,2 Applicant Only,2022-Q3,136,15.600000,10.100000000
Children Act (Public),North East,3 Respondent Only,2022-Q3,2,48.500000,48.500000000
Children Act (Public),North East,4 Neither,2022-Q3,3,14.800000,9.400000000
Children Act (Public),North East,All types,2022-Q3,772,32.500000,27.800000000
Children Act (Public),North West,1 Both,2022-Q3,491,43.400000,38.900000000
Children Act (Public),North West,2 Applicant Only,2022-Q3,121,17.500000,11.900000000
Children Act (Public),North West,4 Neither,2022-Q3,4,39.700000,41.200000000
Children Act (Public),North West,All types,2022-Q3,616,38.300000,34.500000000
Children Act (Public),Not Specified,1 Both,2022-Q3,67,52.100000,56.400000000
Children Act (Public),Not Specified,2 Applicant Only,2022-Q3,13,67.500000,72.100000000
Children Act (Public),Not Specified,All types,2022-Q3,80,54.600000,57.400000000
Children Act (Public),South East,1 Both,2022-Q3,484,46.100000,41.600000000
Children Act (Public),South East,2 Applicant Only,2022-Q3,98,22.500000,14.300000000
Children Act (Public),South East,3 Respondent Only,2022-Q3,1,133.900000,133.900000000
Children Act (Public),South East,4 Neither,2022-Q3,4,18.700000,18.900000000
Children Act (Public),South East,All types,2022-Q3,587,42.100000,38.900000000
Children Act (Public),South West,1 Both,2022-Q3,376,33.500000,31.000000000
Children Act (Public),South West,2 Applicant Only,2022-Q3,49,15.200000,10.700000000
Children Act (Public),South West,3 Respondent Only,2022-Q3,1,60.000000,60.000000000
Children Act (Public),South West,4 Neither,2022-Q3,2,40.200000,40.200000000
Children Act (Public),South West,All types,2022-Q3,428,31.500000,29.400000000
Children Act (Public),Wales,1 Both,2022-Q3,177,29.400000,26.000000000
Children Act (Public),Wales,2 Applicant Only,2022-Q3,43,15.200000,10.700000000
Children Act (Public),Wales,3 Respondent Only,2022-Q3,1,66.400000,66.400000000
Children Act (Public),Wales,4 Neither,2022-Q3,9,16.200000,16.000000000
Children Act (Public),Wales,All types,2022-Q3,230,26.400000,25.200000000
Children Act (Public),England & Wales,1 Both,2022-Q4,3215,42.700000,37.900000000
Children Act (Public),England & Wales,2 Applicant Only,2022-Q4,662,22.300000,14.000000000
Children Act (Public),England & Wales,3 Respondent Only,2022-Q4,17,54.400000,56.000000000
Children Act (Public),England & Wales,4 Neither,2022-Q4,39,25.800000,17.300000000
Children Act (Public),England & Wales,All types,2022-Q4,3933,39.100000,34.600000000
Children Act (Public),London,1 Both,2022-Q4,317,53.900000,51.900000000
Children Act (Public),London,2 Applicant Only,2022-Q4,84,33.700000,34.000000000
Children Act (Public),London,3 Respondent Only,2022-Q4,5,94.300000,100.000000000
Children Act (Public),London,4 Neither,2022-Q4,9,49.700000,54.000000000
Children Act (Public),London,All types,2022-Q4,415,50.200000,49.000000000
Children Act (Public),Midlands,1 Both,2022-Q4,598,46.300000,41.700000000
Children Act (Public),Midlands,2 Applicant Only,2022-Q4,137,23.200000,14.700000000
Children Act (Public),Midlands,3 Respondent Only,2022-Q4,1,58.000000,58.000000000
Children Act (Public),Midlands,4 Neither,2022-Q4,7,20.100000,20.900000000
Children Act (Public),Midlands,All types,2022-Q4,743,41.800000,37.700000000
Children Act (Public),North East,1 Both,2022-Q4,652,37.000000,33.300000000
Children Act (Public),North East,2 Applicant Only,2022-Q4,116,16.300000,11.000000000
Children Act (Public),North East,3 Respondent Only,2022-Q4,5,26.700000,4.100000000
Children Act (Public),North East,4 Neither,2022-Q4,9,8.000000,6.400000000
Children Act (Public),North East,All types,2022-Q4,782,33.500000,30.600000000
Children Act (Public),North West,1 Both,2022-Q4,482,44.200000,39.200000000
Children Act (Public),North West,2 Applicant Only,2022-Q4,132,20.000000,14.900000000
Children Act (Public),North West,3 Respondent Only,2022-Q4,1,33.900000,33.900000000
Children Act (Public),North West,4 Neither,2022-Q4,6,27.600000,35.300000000
Children Act (Public),North West,All types,2022-Q4,621,38.900000,34.300000000
Children Act (Public),Not Specified,1 Both,2022-Q4,45,60.000000,69.100000000
Children Act (Public),Not Specified,2 Applicant Only,2022-Q4,13,77.700000,72.900000000
Children Act (Public),Not Specified,All types,2022-Q4,58,64.000000,71.500000000
Children Act (Public),South East,1 Both,2022-Q4,510,48.100000,43.000000000
Children Act (Public),South East,2 Applicant Only,2022-Q4,79,21.000000,11.300000000
Children Act (Public),South East,3 Respondent Only,2022-Q4,3,39.600000,21.900000000
Children Act (Public),South East,4 Neither,2022-Q4,3,21.400000,4.700000000
Children Act (Public),South East,All types,2022-Q4,595,44.300000,40.900000000
Children Act (Public),South West,1 Both,2022-Q4,397,32.900000,29.400000000
Children Act (Public),South West,2 Applicant Only,2022-Q4,60,12.200000,7.600000000
Children Act (Public),South West,3 Respondent Only,2022-Q4,1,108.600000,108.600000000
Children Act (Public),South West,All types,2022-Q4,458,30.400000,27.000000000
Children Act (Public),Wales,1 Both,2022-Q4,214,31.100000,29.000000000
Children Act (Public),Wales,2 Applicant Only,2022-Q4,41,19.500000,15.900000000
Children Act (Public),Wales,3 Respondent Only,2022-Q4,1,0.600000,0.600000000
Children Act (Public),Wales,4 Neither,2022-Q4,5,23.200000,20.700000000
Children Act (Public),Wales,All types,2022-Q4,261,29.000000,26.100000000
Children Act (Public),England & Wales,1 Both,2023-Q1,3755,43.200000,37.400000000
Children Act (Public),England & Wales,2 Applicant Only,2023-Q1,654,22.600000,13.500000000
Children Act (Public),England & Wales,3 Respondent Only,2023-Q1,7,70.200000,81.900000000
Children Act (Public),England & Wales,4 Neither,2023-Q1,33,28.000000,22.000000000
Children Act (Public),England & Wales,All types,2023-Q1,4449,40.100000,34.900000000
Children Act (Public),London,1 Both,2023-Q1,394,53.500000,49.300000000
Children Act (Public),London,2 Applicant Only,2023-Q1,76,49.500000,47.800000000
Children Act (Public),London,3 Respondent Only,2023-Q1,3,99.800000,88.400000000
Children Act (Public),London,4 Neither,2023-Q1,3,65.400000,79.900000000
Children Act (Public),London,All types,2023-Q1,476,53.200000,49.300000000
Children Act (Public),Midlands,1 Both,2023-Q1,654,44.400000,37.900000000
Children Act (Public),Midlands,2 Applicant Only,2023-Q1,108,17.900000,14.000000000
Children Act (Public),Midlands,3 Respondent Only,2023-Q1,1,81.900000,81.900000000
Children Act (Public),Midlands,4 Neither,2023-Q1,8,29.300000,31.900000000
Children Act (Public),Midlands,All types,2023-Q1,771,40.600000,35.000000000
Children Act (Public),North East,1 Both,2023-Q1,835,37.600000,32.700000000
Children Act (Public),North East,2 Applicant Only,2023-Q1,133,17.800000,11.100000000
Children Act (Public),North East,3 Respondent Only,2023-Q1,2,43.100000,43.100000000
Children Act (Public),North East,4 Neither,2023-Q1,8,19.500000,16.800000000
Children Act (Public),North East,All types,2023-Q1,978,34.700000,30.600000000
Children Act (Public),North West,1 Both,2023-Q1,625,47.400000,40.600000000
Children Act (Public),North West,2 Applicant Only,2023-Q1,142,21.900000,14.100000000
Children Act (Public),North West,4 Neither,2023-Q1,4,28.100000,8.500000000
Children Act (Public),North West,All types,2023-Q1,771,42.600000,37.300000000
Children Act (Public),Not Specified,1 Both,2023-Q1,18,73.000000,83.600000000
Children Act (Public),Not Specified,2 Applicant Only,2023-Q1,2,100.900000,100.900000000
Children Act (Public),Not Specified,All types,2023-Q1,20,75.800000,84.200000000
Children Act (Public),South East,1 Both,2023-Q1,584,46.500000,43.100000000
Children Act (Public),South East,2 Applicant Only,2023-Q1,84,23.600000,16.800000000
Children Act (Public),South East,4 Neither,2023-Q1,2,38.000000,38.000000000
Children Act (Public),South East,All types,2023-Q1,670,43.600000,39.900000000
Children Act (Public),South West,1 Both,2023-Q1,430,36.200000,32.300000000
Children Act (Public),South West,2 Applicant Only,2023-Q1,62,11.700000,7.000000000
Children Act (Public),South West,4 Neither,2023-Q1,2,15.100000,15.100000000
Children Act (Public),South West,All types,2023-Q1,494,33.100000,30.100000000
Children Act (Public),Wales,1 Both,2023-Q1,215,32.300000,28.300000000
Children Act (Public),Wales,2 Applicant Only,2023-Q1,47,15.200000,11.000000000
Children Act (Public),Wales,3 Respondent Only,2023-Q1,1,23.600000,23.600000000
Children Act (Public),Wales,4 Neither,2023-Q1,6,19.600000,18.000000000
Children Act (Public),Wales,All types,2023-Q1,269,29.000000,26.000000000
Children Act (Public),England & Wales,1 Both,2023-Q2,3568,42.200000,36.100000000
Children Act (Public),England & Wales,2 Applicant Only,2023-Q2,603,17.500000,10.100000000
Children Act (Public),England & Wales,3 Respondent Only,2023-Q2,7,55.500000,39.000000000
Children Act (Public),England & Wales,4 Neither,2023-Q2,35,34.600000,17.100000000
Children Act (Public),England & Wales,All types,2023-Q2,4213,38.600000,32.700000000
Children Act (Public),London,1 Both,2023-Q2,392,53.300000,49.000000000
Children Act (Public),London,2 Applicant Only,2023-Q2,71,28.800000,24.900000000
Children Act (Public),London,3 Respondent Only,2023-Q2,1,114.100000,114.100000000
Children Act (Public),London,4 Neither,2023-Q2,6,81.100000,72.000000000
Children Act (Public),London,All types,2023-Q2,470,50.100000,46.800000000
Children Act (Public),Midlands,1 Both,2023-Q2,671,42.600000,37.300000000
Children Act (Public),Midlands,2 Applicant Only,2023-Q2,126,16.800000,8.400000000
Children Act (Public),Midlands,3 Respondent Only,2023-Q2,2,23.000000,23.000000000
Children Act (Public),Midlands,4 Neither,2023-Q2,2,33.100000,33.100000000
Children Act (Public),Midlands,All types,2023-Q2,801,38.500000,33.000000000
Children Act (Public),North East,1 Both,2023-Q2,740,36.700000,30.700000000
Children Act (Public),North East,2 Applicant Only,2023-Q2,115,15.200000,9.100000000
Children Act (Public),North East,3 Respondent Only,2023-Q2,3,32.400000,39.000000000
Children Act (Public),North East,4 Neither,2023-Q2,10,21.500000,10.500000000
Children Act (Public),North East,All types,2023-Q2,868,33.600000,27.400000000
Children Act (Public),North West,1 Both,2023-Q2,562,44.000000,39.000000000
Children Act (Public),North West,2 Applicant Only,2023-Q2,115,16.900000,11.000000000
Children Act (Public),North West,4 Neither,2023-Q2,9,29.100000,13.000000000
Children Act (Public),North West,All types,2023-Q2,686,39.300000,34.100000000
Children Act (Public),Not Specified,1 Both,2023-Q2,13,73.100000,91.300000000
Children Act (Public),Not Specified,2 Applicant Only,2023-Q2,2,115.400000,115.400000000
Children Act (Public),Not Specified,All types,2023-Q2,15,78.700000,92.000000000
Children Act (Public),South East,1 Both,2023-Q2,538,48.500000,45.000000000
Children Act (Public),South East,2 Applicant Only,2023-Q2,62,16.800000,10.100000000
Children Act (Public),South East,4 Neither,2023-Q2,1,108.900000,108.900000000
Children Act (Public),South East,All types,2023-Q2,601,45.400000,42.400000000
Children Act (Public),South West,1 Both,2023-Q2,392,36.300000,30.100000000
Children Act (Public),South West,2 Applicant Only,2023-Q2,57,9.700000,8.000000000
Children Act (Public),South West,All types,2023-Q2,449,32.900000,28.400000000
Children Act (Public),Wales,1 Both,2023-Q2,260,29.700000,25.200000000
Children Act (Public),Wales,2 Applicant Only,2023-Q2,55,15.500000,10.000000000
Children Act (Public),Wales,3 Respondent Only,2023-Q2,1,131.100000,131.100000000
Children Act (Public),Wales,4 Neither,2023-Q2,7,10.700000,6.000000000
Children Act (Public),Wales,All types,2023-Q2,323,27.200000,24.600000000
Children Act (Public),England & Wales,1 Both,2023-Q3,3437,41.300000,35.300000000
Children Act (Public),England & Wales,2 Applicant Only,2023-Q3,603,15.600000,9.100000000
Children Act (Public),England & Wales,3 Respondent Only,2023-Q3,5,17.100000,17.100000000
Children Act (Public),England & Wales,4 Neither,2023-Q3,33,21.100000,11.000000000
Children Act (Public),England & Wales,All types,2023-Q3,4078,37.300000,32.000000000
Children Act (Public),London,1 Both,2023-Q3,344,52.800000,50.000000000
Children Act (Public),London,2 Applicant Only,2023-Q3,54,32.800000,16.900000000
Children Act (Public),London,3 Respondent Only,2023-Q3,1,0.100000,0.100000000
Children Act (Public),London,4 Neither,2023-Q3,5,61.800000,48.100000000
Children Act (Public),London,All types,2023-Q3,404,50.100000,48.000000000
Children Act (Public),Midlands,1 Both,2023-Q3,672,42.000000,36.200000000
Children Act (Public),Midlands,2 Applicant Only,2023-Q3,120,13.700000,8.500000000
Children Act (Public),Midlands,4 Neither,2023-Q3,6,19.200000,14.800000000
Children Act (Public),Midlands,All types,2023-Q3,798,37.500000,32.700000000
Children Act (Public),North East,1 Both,2023-Q3,732,36.000000,30.600000000
Children Act (Public),North East,2 Applicant Only,2023-Q3,126,13.000000,9.400000000
Children Act (Public),North East,3 Respondent Only,2023-Q3,2,24.600000,24.600000000
Children Act (Public),North East,4 Neither,2023-Q3,11,9.800000,11.000000000
Children Act (Public),North East,All types,2023-Q3,871,32.300000,26.000000000
Children Act (Public),North West,1 Both,2023-Q3,511,43.400000,38.100000000
Children Act (Public),North West,2 Applicant Only,2023-Q3,137,14.400000,10.700000000
Children Act (Public),North West,4 Neither,2023-Q3,4,25.000000,23.600000000
Children Act (Public),North West,All types,2023-Q3,652,37.200000,32.500000000
Children Act (Public),Not Specified,1 Both,2023-Q3,8,104.200000,107.000000000
Children Act (Public),Not Specified,All types,2023-Q3,8,104.200000,107.000000000
Children Act (Public),South East,1 Both,2023-Q3,546,48.800000,43.600000000
Children Act (Public),South East,2 Applicant Only,2023-Q3,68,17.200000,7.900000000
Children Act (Public),South East,4 Neither,2023-Q3,2,19.000000,19.000000000
Children Act (Public),South East,All types,2023-Q3,616,45.200000,41.000000000
Children Act (Public),South West,1 Both,2023-Q3,426,33.400000,29.400000000
Children Act (Public),South West,2 Applicant Only,2023-Q3,49,12.600000,7.100000000
Children Act (Public),South West,4 Neither,2023-Q3,2,6.400000,6.400000000
Children Act (Public),South West,All types,2023-Q3,477,31.100000,27.600000000
Children Act (Public),Wales,1 Both,2023-Q3,198,27.800000,25.400000000
Children Act (Public),Wales,2 Applicant Only,2023-Q3,49,11.600000,8.100000000
Children Act (Public),Wales,3 Respondent Only,2023-Q3,2,18.200000,18.200000000
Children Act (Public),Wales,4 Neither,2023-Q3,3,5.300000,3.400000000
Children Act (Public),Wales,All types,2023-Q3,252,24.300000,23.100000000
Children Act (Public),England & Wales,1 Both,2023-Q4,3298,41.100000,34.100000000
Children Act (Public),England & Wales,2 Applicant Only,2023-Q4,567,14.100000,9.100000000
Children Act (Public),England & Wales,3 Respondent Only,2023-Q4,3,21.100000,23.900000000
Children Act (Public),England & Wales,4 Neither,2023-Q4,29,21.600000,12.600000000
Children Act (Public),England & Wales,All types,2023-Q4,3897,37.000000,30.700000000
Children Act (Public),London,1 Both,2023-Q4,341,56.900000,53.300000000
Children Act (Public),London,2 Applicant Only,2023-Q4,60,20.100000,6.600000000
Children Act (Public),London,4 Neither,2023-Q4,2,88.700000,88.700000000
Children Act (Public),London,All types,2023-Q4,403,51.600000,50.700000000
Children Act (Public),Midlands,1 Both,2023-Q4,612,41.600000,34.700000000
Children Act (Public),Midlands,2 Applicant Only,2023-Q4,139,10.700000,6.100000000
Children Act (Public),Midlands,3 Respondent Only,2023-Q4,1,23.900000,23.900000000
Children Act (Public),Midlands,4 Neither,2023-Q4,2,24.600000,24.600000000
Children Act (Public),Midlands,All types,2023-Q4,754,35.800000,30.100000000
Children Act (Public),North East,1 Both,2023-Q4,749,33.900000,27.100000000
Children Act (Public),North East,2 Applicant Only,2023-Q4,124,12.700000,9.900000000
Children Act (Public),North East,4 Neither,2023-Q4,8,6.300000,5.900000000
Children Act (Public),North East,All types,2023-Q4,881,30.700000,25.600000000
Children Act (Public),North West,1 Both,2023-Q4,525,43.100000,37.000000000
Children Act (Public),North West,2 Applicant Only,2023-Q4,96,17.600000,12.000000000
Children Act (Public),North West,4 Neither,2023-Q4,3,23.700000,27.400000000
Children Act (Public),North West,All types,2023-Q4,624,39.100000,32.700000000
Children Act (Public),Not Specified,1 Both,2023-Q4,5,92.800000,114.700000000
Children Act (Public),Not Specified,All types,2023-Q4,5,92.800000,114.700000000
Children Act (Public),South East,1 Both,2023-Q4,509,47.000000,43.600000000
Children Act (Public),South East,2 Applicant Only,2023-Q4,62,18.600000,10.700000000
Children Act (Public),South East,3 Respondent Only,2023-Q4,1,25.400000,25.400000000
Children Act (Public),South East,All types,2023-Q4,572,43.900000,40.500000000
Children Act (Public),South West,1 Both,2023-Q4,369,34.500000,30.900000000
Children Act (Public),South West,2 Applicant Only,2023-Q4,48,7.800000,7.000000000
Children Act (Public),South West,4 Neither,2023-Q4,9,12.600000,9.000000000
Children Act (Public),South West,All types,2023-Q4,426,31.000000,27.400000000
Children Act (Public),Wales,1 Both,2023-Q4,188,29.000000,25.200000000
Children Act (Public),Wales,2 Applicant Only,2023-Q4,38,14.200000,10.200000000
Children Act (Public),Wales,3 Respondent Only,2023-Q4,1,14.100000,14.100000000
Children Act (Public),Wales,4 Neither,2023-Q4,5,33.200000,27.400000000
Children Act (Public),Wales,All types,2023-Q4,232,26.600000,24.500000000
Children Act (Public),England & Wales,1 Both,2024-Q1,3379,41.000000,34.300000000
Children Act (Public),England & Wales,2 Applicant Only,2024-Q1,561,13.400000,9.000000000
Children Act (Public),England & Wales,3 Respondent Only,2024-Q1,6,50.200000,31.500000000
Children Act (Public),England & Wales,4 Neither,2024-Q1,29,16.900000,10.600000000
Children Act (Public),England & Wales,All types,2024-Q1,3975,36.900000,30.700000000
Children Act (Public),London,1 Both,2024-Q1,383,58.300000,53.900000000
Children Act (Public),London,2 Applicant Only,2024-Q1,55,22.800000,5.100000000
Children Act (Public),London,3 Respondent Only,2024-Q1,2,70.900000,70.900000000
Children Act (Public),London,4 Neither,2024-Q1,2,46.300000,46.300000000
Children Act (Public),London,All types,2024-Q1,442,53.900000,50.000000000
Children Act (Public),Midlands,1 Both,2024-Q1,670,39.400000,34.000000000
Children Act (Public),Midlands,2 Applicant Only,2024-Q1,128,10.500000,5.300000000
Children Act (Public),Midlands,4 Neither,2024-Q1,4,32.200000,30.600000000
Children Act (Public),Midlands,All types,2024-Q1,802,34.700000,30.100000000
Children Act (Public),North East,1 Both,2024-Q1,692,33.500000,28.000000000
Children Act (Public),North East,2 Applicant Only,2024-Q1,138,13.100000,9.900000000
Children Act (Public),North East,4 Neither,2024-Q1,9,11.900000,2.000000000
Children Act (Public),North East,All types,2024-Q1,839,29.900000,25.700000000
Children Act (Public),North West,1 Both,2024-Q1,462,42.400000,37.700000000
Children Act (Public),North West,2 Applicant Only,2024-Q1,89,14.000000,11.000000000
Children Act (Public),North West,3 Respondent Only,2024-Q1,1,13.600000,13.600000000
Children Act (Public),North West,4 Neither,2024-Q1,2,15.200000,15.200000000
Children Act (Public),North West,All types,2024-Q1,554,37.700000,31.300000000
Children Act (Public),South East,1 Both,2024-Q1,542,48.400000,43.000000000
Children Act (Public),South East,2 Applicant Only,2024-Q1,61,12.700000,5.100000000
Children Act (Public),South East,3 Respondent Only,2024-Q1,2,64.500000,64.500000000
Children Act (Public),South East,4 Neither,2024-Q1,2,11.100000,11.100000000
Children Act (Public),South East,All types,2024-Q1,607,44.700000,39.900000000
Children Act (Public),South West,1 Both,2024-Q1,417,35.600000,30.300000000
Children Act (Public),South West,2 Applicant Only,2024-Q1,59,11.200000,8.000000000
Children Act (Public),South West,4 Neither,2024-Q1,7,8.500000,4.400000000
Children Act (Public),South West,All types,2024-Q1,483,32.200000,27.300000000
Children Act (Public),Wales,1 Both,2024-Q1,213,28.400000,25.600000000
Children Act (Public),Wales,2 Applicant Only,2024-Q1,31,14.300000,10.000000000
Children Act (Public),Wales,3 Respondent Only,2024-Q1,1,17.000000,17.000000000
Children Act (Public),Wales,4 Neither,2024-Q1,3,16.900000,10.900000000
Children Act (Public),Wales,All types,2024-Q1,248,26.400000,25.000000000
Children Act (Public),England & Wales,1 Both,2024-Q2,3363,40.300000,33.700000000
Children Act (Public),England & Wales,2 Applicant Only,2024-Q2,577,14.800000,9.000000000
Children Act (Public),England & Wales,3 Respondent Only,2024-Q2,5,49.000000,18.000000000
Children Act (Public),England & Wales,4 Neither,2024-Q2,38,22.100000,13.400000000
Children Act (Public),England & Wales,All types,2024-Q2,3983,36.400000,30.000000000
Children Act (Public),London,1 Both,2024-Q2,361,59.700000,53.900000000
Children Act (Public),London,2 Applicant Only,2024-Q2,60,40.200000,18.700000000
Children Act (Public),London,3 Respondent Only,2024-Q2,1,180.700000,180.700000000
Children Act (Public),London,4 Neither,2024-Q2,6,48.900000,13.400000000
Children Act (Public),London,All types,2024-Q2,428,57.100000,50.900000000
Children Act (Public),Midlands,1 Both,2024-Q2,634,35.400000,30.000000000
Children Act (Public),Midlands,2 Applicant Only,2024-Q2,130,9.700000,6.100000000
Children Act (Public),Midlands,3 Respondent Only,2024-Q2,2,22.000000,22.000000000
Children Act (Public),Midlands,4 Neither,2024-Q2,4,20.600000,17.800000000
Children Act (Public),Midlands,All types,2024-Q2,770,31.000000,26.700000000
Children Act (Public),North East,1 Both,2024-Q2,753,33.000000,27.600000000
Children Act (Public),North East,2 Applicant Only,2024-Q2,105,12.000000,8.900000000
Children Act (Public),North East,3 Respondent Only,2024-Q2,1,7.300000,7.300000000
Children Act (Public),North East,4 Neither,2024-Q2,9,12.200000,10.300000000
Children Act (Public),North East,All types,2024-Q2,868,30.200000,25.600000000
Children Act (Public),North West,1 Both,2024-Q2,531,44.500000,39.600000000
Children Act (Public),North West,2 Applicant Only,2024-Q2,108,17.000000,11.700000000
Children Act (Public),North West,4 Neither,2024-Q2,5,26.500000,22.900000000
Children Act (Public),North West,All types,2024-Q2,644,39.800000,35.200000000
Children Act (Public),South East,1 Both,2024-Q2,482,48.400000,43.100000000
Children Act (Public),South East,2 Applicant Only,2024-Q2,65,11.100000,4.000000000
Children Act (Public),South East,3 Respondent Only,2024-Q2,1,13.000000,13.000000000
Children Act (Public),South East,4 Neither,2024-Q2,1,40.100000,40.100000000
Children Act (Public),South East,All types,2024-Q2,549,43.900000,39.400000000
Children Act (Public),South West,1 Both,2024-Q2,378,35.900000,32.100000000
Children Act (Public),South West,2 Applicant Only,2024-Q2,58,9.300000,7.800000000
Children Act (Public),South West,4 Neither,2024-Q2,6,8.700000,5.600000000
Children Act (Public),South West,All types,2024-Q2,442,32.100000,27.800000000
Children Act (Public),Wales,1 Both,2024-Q2,224,27.300000,25.000000000
Children Act (Public),Wales,2 Applicant Only,2024-Q2,51,9.800000,8.700000000
Children Act (Public),Wales,4 Neither,2024-Q2,7,18.500000,15.000000000
Children Act (Public),Wales,All types,2024-Q2,282,23.900000,23.000000000
Children Act (Public),England & Wales,1 Both,2024-Q3,3451,39.100000,33.100000000
Children Act (Public),England & Wales,2 Applicant Only,2024-Q3,575,11.100000,7.700000000
